epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,12781.5,0.65735,0.28894,0.00212,0.87301,0.85776,0.89889,0.69491,0.89433,0.7048,0.00379,0.000621791,0.000621791,0.000621791
97,12962.3,0.67606,0.28852,0.00217,0.84896,0.83156,0.87977,0.68739,0.90704,0.80897,0.00376,0.000610789,0.000610789,0.000610789
98,13142.6,0.68732,0.29609,0.00215,0.81891,0.85776,0.87581,0.67705,0.92959,0.80122,0.00393,0.000599787,0.000599787,0.000599787
99,13325,0.64912,0.30071,0.00208,0.85421,0.84208,0.87912,0.68294,0.90549,0.75083,0.0038,0.000588784,0.000588784,0.000588784
100,13506.5,0.6591,0.294,0.002,0.88677,0.8319,0.87676,0.68247,0.89397,0.76179,0.00368,0.000577782,0.000577782,0.000577782
101,13685.2,0.65728,0.3023,0.00211,0.83283,0.83422,0.86535,0.67826,0.88245,0.7854,0.00365,0.00056678,0.00056678,0.00056678
102,13867.4,0.64794,0.27533,0.00197,0.89135,0.80464,0.87935,0.68559,0.8849,0.79522,0.00366,0.000555778,0.000555778,0.000555778
103,14055.2,0.61525,0.25969,0.00189,0.89053,0.81912,0.88192,0.69818,0.89585,0.80839,0.00367,0.000544776,0.000544776,0.000544776
104,14265,0.63194,0.28189,0.00196,0.86297,0.83564,0.90254,0.70057,0.90773,0.71114,0.00373,0.000533773,0.000533773,0.000533773
105,14466.4,0.60537,0.25938,0.00189,0.8657,0.84875,0.90346,0.71074,0.88521,0.72857,0.00365,0.000522771,0.000522771,0.000522771
106,14644.2,0.6223,0.25798,0.00196,0.85324,0.85344,0.89455,0.70001,0.87445,0.74587,0.0036,0.000511769,0.000511769,0.000511769
107,14824.1,0.61238,0.26168,0.00194,0.82786,0.86864,0.88718,0.69917,0.88216,0.80437,0.00361,0.000500767,0.000500767,0.000500767
108,14998.8,0.62104,0.26395,0.00196,0.85711,0.84052,0.89309,0.7023,0.87765,0.78926,0.00367,0.000489765,0.000489765,0.000489765
109,15150.9,0.61263,0.27317,0.00196,0.86759,0.84914,0.87609,0.68182,0.88208,0.77882,0.00364,0.000478762,0.000478762,0.000478762
110,15263,0.60388,0.26827,0.00187,0.87567,0.83621,0.88774,0.69363,0.88564,0.76823,0.00367,0.00046776,0.00046776,0.00046776
111,15375.6,0.60097,0.25056,0.00182,0.8528,0.86019,0.8822,0.6947,0.87663,0.73103,0.00356,0.000456758,0.000456758,0.000456758
112,15488.7,0.56054,0.22918,0.00175,0.8702,0.8319,0.88424,0.69516,0.88376,0.7578,0.00363,0.000445756,0.000445756,0.000445756
113,15602.3,0.59075,0.2417,0.00188,0.87783,0.84483,0.87958,0.68437,0.89837,0.77505,0.00369,0.000434754,0.000434754,0.000434754
114,15716.1,0.57909,0.24341,0.00187,0.84645,0.86965,0.88414,0.69543,0.90202,0.76964,0.00375,0.000423751,0.000423751,0.000423751
115,15829.2,0.57894,0.2534,0.00174,0.8574,0.86121,0.88806,0.70079,0.88065,0.77622,0.00362,0.000412749,0.000412749,0.000412749
116,15968,0.58307,0.24296,0.00178,0.85552,0.84582,0.89001,0.70327,0.88229,0.7827,0.00363,0.000401747,0.000401747,0.000401747
117,16089.6,0.58535,0.27197,0.00186,0.86698,0.83512,0.86973,0.68592,0.87831,0.82406,0.0036,0.000390745,0.000390745,0.000390745
118,16204,0.55436,0.25108,0.00167,0.83483,0.86974,0.89986,0.70122,0.88772,0.78982,0.00367,0.000379743,0.000379743,0.000379743
119,16317,0.54779,0.22825,0.00169,0.84059,0.85168,0.89056,0.70226,0.87004,0.80087,0.00356,0.00036874,0.00036874,0.00036874
120,16430.5,0.55763,0.22928,0.00184,0.87266,0.83557,0.87383,0.69356,0.88023,0.81188,0.00363,0.000357738,0.000357738,0.000357738
121,16543.3,0.58393,0.24188,0.00184,0.8244,0.86207,0.87771,0.69109,0.89509,0.82875,0.00367,0.000346736,0.000346736,0.000346736
122,16657.1,0.55921,0.24211,0.00181,0.87411,0.8129,0.8729,0.68026,0.88509,0.86838,0.00368,0.000335734,0.000335734,0.000335734
123,16769.4,0.57018,0.2474,0.00175,0.85363,0.83458,0.87455,0.68409,0.88648,0.83391,0.00368,0.000324732,0.000324732,0.000324732
124,16884.7,0.53989,0.24463,0.00169,0.86556,0.81897,0.88529,0.6987,0.88034,0.84461,0.00368,0.000313729,0.000313729,0.000313729
125,16998.5,0.54784,0.22821,0.00168,0.83754,0.84798,0.85673,0.68021,0.88278,0.88302,0.00363,0.000302727,0.000302727,0.000302727
