epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_enc,train/lr,train/lr_max,train/lr_min,val/AP/not_occluded,val/AP/occluded,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/loss,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
23,1391,,,,,,,,,,,,,,,,,,,,,,0.7970823049545288,0.5245118737220764,0.8492046594619751,0.9058264493942261,0.7019892334938049,0.8262931108474731,4.275472640991211,0.8867326378822327,0.6607970595359802,0.7619881629943848,0.8116379380226135,0.8326819539070129,0.875
23,1391,3880.142333984375,3765.19384765625,3748.106689453125,3750.28662109375,1.0519273281097412,2.718736410140991,0.011360934935510159,0.011463536880910397,0.011391560547053814,0.01441841572523117,0.36337193846702576,0.3639012575149536,0.36211925745010376,0.4362218379974365,0.11313141137361526,0.11337831616401672,0.11324261873960495,0.13522246479988098,,,,,,,,,,,,,,,,
24,1399,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
24,1449,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
24,1449,,,,,,,,,,,,,,,,,,,,,,0.7986522912979126,0.5171804428100586,0.8611111044883728,0.8997613191604614,0.6947753429412842,0.8262931108474731,4.146293640136719,0.8717132210731506,0.6579163670539856,0.7621669173240662,0.7974137663841248,0.8647851347923279,0.857758641242981
24,1449,3885.970947265625,3763.476318359375,3752.00439453125,3769.299560546875,1.4470425844192505,2.6894843578338623,0.011161685921251774,0.011215925216674805,0.011087208054959774,0.013539047911763191,0.3677138388156891,0.3692023456096649,0.3671809434890747,0.4151478707790375,0.11169685423374176,0.11292915791273117,0.11146175116300583,0.13152208924293518,,,,,,,,,,,,,,,,
25,1499,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
25,1507,,,,,,,,,,,,,,,,,,,,,,0.7909964919090271,0.5234346389770508,0.8565006852149963,0.9007225632667542,0.6946783661842346,0.829741358757019,4.261260986328125,0.8916119337081909,0.6572155356407166,0.7826912999153137,0.7793103456497192,0.8272258043289185,0.8879310488700867
25,1507,3866.677734375,3768.8232421875,3701.477294921875,3770.513916015625,1.3515206575393677,2.8206281661987305,0.011911194771528244,0.01210259273648262,0.011897415854036808,0.01586833782494068,0.3759901821613312,0.3764303922653198,0.37358254194259644,0.4448161721229553,0.11650482565164566,0.11729349941015244,0.11585615575313568,0.14580117166042328,,,,,,,,,,,,,,,,
26,1549,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
26,1565,,,,,,,,,,,,,,,,,,,,,,0.8114208579063416,0.5089813470840454,0.8569915294647217,0.9098455309867859,0.695813775062561,0.8254310488700867,4.157138824462891,0.8739379048347473,0.6602010726928711,0.7434089183807373,0.8146551847457886,0.8662037253379822,0.8491379022598267
26,1565,3857.585205078125,3774.512939453125,3699.201416015625,3786.997802734375,2.326479434967041,2.7433180809020996,0.011331247165799141,0.01143903099000454,0.011288885027170181,0.015070300549268723,0.3763653337955475,0.3751126229763031,0.37562617659568787,0.43374061584472656,0.1101946160197258,0.11112336814403534,0.11022043973207474,0.13687433302402496,,,,,,,,,,,,,,,,
27,1599,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
27,1623,,,,,,,,,,,,,,,,,,,,,,0.8032131195068359,0.5396941304206848,0.8650636076927185,0.9074324369430542,0.696941614151001,0.8228448033332825,4.113281726837158,0.8955449461936951,0.671453595161438,0.7894386053085327,0.7948275804519653,0.8725278973579407,0.857758641242981
27,1623,3870.163818359375,3797.48388671875,3738.471923828125,3759.16259765625,0.8083851337432861,2.759366035461426,0.01116299070417881,0.01168371457606554,0.011452249251306057,0.017473960295319557,0.35781461000442505,0.3634847104549408,0.3580529987812042,0.45781344175338745,0.10899394005537033,0.1114441454410553,0.10984280705451965,0.15138673782348633,,,,,,,,,,,,,,,,
28,1649,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
28,1681,,,,,,,,,,,,,,,,,,,,,,0.7922513484954834,0.5365926623344421,0.8674029111862183,0.9113689064979553,0.7065838575363159,0.8262931108474731,4.026434898376465,0.879030704498291,0.6644220352172852,0.7532467246055603,0.8064655065536499,0.8913690447807312,0.8448275923728943
28,1681,3876.045166015625,3815.476318359375,3745.39990234375,3818.3427734375,0.9331157207489014,2.713000535964966,0.01083070132881403,0.010875092819333076,0.010843479074537754,0.016906162723898888,0.3492569029331207,0.35417863726615906,0.349953293800354,0.46113112568855286,0.10804907232522964,0.10823538154363632,0.10798461735248566,0.15133272111415863,,,,,,,,,,,,,,,,
29,1699,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
29,1739,,,,,,,,,,,,,,,,,,,,,,0.8133481740951538,0.5487300157546997,0.8650022745132446,0.9084906578063965,0.7042660713195801,0.8275862336158752,3.991753339767456,0.8971338272094727,0.6810390949249268,0.7713936567306519,0.804741382598877,0.8356562256813049,0.8965517282485962
29,1739,3882.201416015625,3839.346923828125,3796.93115234375,3806.8857421875,1.372441053390503,2.819739580154419,0.012180069461464882,0.012246095575392246,0.012206563726067543,0.017834272235631943,0.36617887020111084,0.36439353227615356,0.3640158176422119,0.4616478681564331,0.11430592089891434,0.11470792442560196,0.11350303143262863,0.15306717157363892,,,,,,,,,,,,,,,,
30,1749,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,4.04070533477352e-06,,,,,,,,,,,,,
